Dijkstra;Ford-Bellman;Prim;Kruskal
0.343048;0.095143;0.012264;0.201282
0.361561;0.104062;0.01217;0.200332
0.367762;0.10656;0.012321;0.200807
0.3617;0.1042;0.012272;0.201045
0.341774;0.096043;0.012501;0.202826
0.356579;0.098208;0.012204;0.200455
0.362728;0.109108;0.012314;0.200495
0.352424;0.09923;0.012176;0.20177
0.359659;0.090113;0.012192;0.207155
0.387788;0.108632;0.012212;0.20487
0.364288;0.101515;0.012309;0.200523
0.353877;0.096829;0.012316;0.20031
0.363815;0.096866;0.012234;0.200074
0.383238;0.108166;0.012159;0.200139
0.355367;0.101268;0.012222;0.200793
0.354285;0.093788;0.01214;0.200469
0.354554;0.099081;0.012225;0.201272
0.362133;0.105231;0.012362;0.201471
0.348501;0.094729;0.012133;0.20032
0.372285;0.107972;0.01222;0.200898
0.36876;0.103088;0.012208;0.20227
0.362237;0.106603;0.012222;0.206652
0.374548;0.099048;0.01228;0.200574
0.35807;0.098052;0.012282;0.200548
0.366155;0.098569;0.012284;0.200699
0.351053;0.108678;0.012324;0.201395
0.357828;0.101994;0.012393;0.200388
0.354743;0.097825;0.012295;0.20116
0.376013;0.104519;0.01216;0.200971
0.366715;0.104794;0.012393;0.201297
0.351007;0.096795;0.012299;0.200156
0.344798;0.107684;0.012207;0.201079
0.361051;0.102691;0.01222;0.199408
0.358435;0.103949;0.012375;0.199437
0.350978;0.092147;0.012364;0.199907
0.36111;0.104144;0.012332;0.200738
0.362451;0.10842;0.01207;0.200604
0.373933;0.103572;0.012332;0.199465
0.368756;0.10053;0.01232;0.200502
0.363802;0.091872;0.012236;0.201563
0.37393;0.101602;0.012234;0.200789
0.364646;0.097011;0.012241;0.200942
0.363735;0.106988;0.012195;0.200904
0.375331;0.100163;0.012302;0.201682
0.364746;0.101728;0.0123;0.204634
0.355223;0.100677;0.012141;0.201823
0.364129;0.098705;0.012139;0.200277
0.348583;0.100099;0.012182;0.200504
0.347347;0.100168;0.012172;0.20101
0.374714;0.102515;0.012254;0.19969
0.353566;0.103425;0.012452;0.201095
0.350222;0.103281;0.012622;0.205092
0.362703;0.102586;0.012262;0.201229
0.367915;0.103014;0.012342;0.200072
0.379257;0.100917;0.012385;0.200692
0.347702;0.093218;0.012318;0.200649
0.354807;0.102423;0.012205;0.200956
0.368916;0.098006;0.013201;0.202511
0.359955;0.102242;0.012269;0.200601
0.35503;0.10647;0.012144;0.200492
0.374335;0.10608;0.012202;0.200954
0.359736;0.101022;0.012266;0.201342
0.367513;0.102178;0.012253;0.200137
0.373288;0.102678;0.012174;0.201197
0.355771;0.094393;0.012074;0.201476
0.387976;0.104919;0.012701;0.202152
0.364899;0.102296;0.012119;0.202209
0.348759;0.092737;0.012199;0.201406
0.365255;0.104343;0.012072;0.200633
0.366003;0.104937;0.012057;0.200178
0.374562;0.113058;0.012153;0.200957
0.352368;0.102825;0.012244;0.200692
0.374228;0.100249;0.012386;0.200736
0.351047;0.094923;0.012279;0.201199
0.370523;0.095717;0.012154;0.200852
0.368734;0.098904;0.012063;0.200494
0.351298;0.107608;0.012026;0.20165
0.347042;0.103232;0.012252;0.201281
0.362428;0.106518;0.012358;0.201266
0.357165;0.102999;0.012217;0.200289
0.347502;0.094329;0.01219;0.201016
0.368517;0.100063;0.012441;0.200649
0.354388;0.097917;0.012288;0.200965
0.357801;0.100755;0.012267;0.201214
0.364085;0.108031;0.012402;0.201302
0.356236;0.102562;0.012092;0.200281
0.360661;0.105984;0.012035;0.200677
0.367526;0.104158;0.012387;0.201297
0.372867;0.102686;0.012181;0.200085
0.359404;0.10073;0.012205;0.202263
0.359205;0.099303;0.0122;0.200896
0.351228;0.109942;0.012314;0.200758
0.369714;0.101655;0.012158;0.201365
0.357913;0.094863;0.012116;0.200468
0.353191;0.100232;0.011961;0.202394
0.361142;0.101953;0.012104;0.201063
0.353836;0.096469;0.012272;0.201491
0.358881;0.092809;0.012145;0.200894
0.377605;0.104462;0.012202;0.200408
0.365798;0.099703;0.012159;0.200873
