Dijkstra;Ford-Bellman;Prim;Kruskal
0.367784;0.0969;0.009451;0.09704
0.353739;0.09393;0.010006;0.100121
0.351441;0.085285;0.009424;0.096583
0.360629;0.090268;0.009718;0.096289
0.358212;0.092787;0.009513;0.096045
0.365912;0.100373;0.009652;0.096592
0.35573;0.08798;0.009425;0.097371
0.338967;0.091463;0.00942;0.096514
0.352089;0.089706;0.009538;0.097801
0.347409;0.100163;0.009703;0.097787
0.338065;0.087757;0.009659;0.096198
0.347297;0.089334;0.009668;0.096626
0.3556;0.085708;0.010366;0.09684
0.398903;0.100507;0.009596;0.096542
0.355103;0.0947;0.009362;0.096594
0.356809;0.094233;0.010103;0.096429
0.355548;0.090388;0.009605;0.096194
0.368466;0.093633;0.009702;0.096176
0.349483;0.092633;0.009498;0.096031
0.352255;0.087235;0.009579;0.096367
0.347971;0.086817;0.009307;0.096395
0.353147;0.090762;0.009373;0.097047
0.34076;0.087744;0.009437;0.096819
0.342206;0.08809;0.009486;0.096483
0.347795;0.08987;0.010068;0.096614
0.33688;0.088362;0.009351;0.09633
0.370596;0.095097;0.010877;0.096674
0.344382;0.090321;0.009352;0.096016
0.353379;0.091203;0.009589;0.096121
0.335807;0.081696;0.009702;0.097306
0.358756;0.094417;0.01098;0.096837
0.362333;0.089962;0.009408;0.096903
0.358001;0.085592;0.009547;0.09633
0.342052;0.082875;0.011774;0.096964
0.336504;0.087595;0.009496;0.096381
0.337447;0.089117;0.009541;0.097174
0.351031;0.088164;0.009318;0.096038
0.346153;0.093164;0.009498;0.096305
0.343738;0.093329;0.011588;0.096535
0.343279;0.086678;0.009183;0.097237
0.328808;0.081937;0.009388;0.09646
0.349034;0.089635;0.009686;0.095844
0.350251;0.092157;0.009545;0.09589
0.347452;0.093957;0.011061;0.096046
0.35453;0.089272;0.009449;0.096459
0.340836;0.088308;0.009558;0.096129
0.356672;0.08653;0.010643;0.09619
0.341894;0.088622;0.009308;0.099916
0.353595;0.088257;0.009498;0.09623
0.3346;0.085854;0.009325;0.095157
0.363348;0.091454;0.011359;0.096792
0.35284;0.089933;0.009278;0.096361
0.367425;0.09681;0.00954;0.096571
0.348318;0.092716;0.009487;0.096141
0.341804;0.091723;0.010609;0.096684
0.363764;0.098231;0.009526;0.096103
0.353416;0.096528;0.009173;0.096527
0.353711;0.08671;0.0095;0.097393
0.390482;0.102344;0.009753;0.096907
0.337788;0.084474;0.009637;0.096123
0.347257;0.09026;0.009428;0.096331
0.339925;0.0873;0.009409;0.096882
0.372002;0.089356;0.009396;0.096378
0.349139;0.085399;0.010194;0.100829
0.337254;0.086289;0.009422;0.096768
0.362694;0.095575;0.009255;0.096929
0.352318;0.091783;0.009328;0.096211
0.350774;0.0934;0.009448;0.096778
0.36809;0.098114;0.009355;0.096439
0.362709;0.096815;0.009574;0.096201
0.344154;0.092557;0.009623;0.09624
0.358801;0.09072;0.009497;0.09599
0.356869;0.088671;0.0093;0.098387
0.34395;0.089312;0.009654;0.09673
0.335179;0.087729;0.010218;0.096578
0.364237;0.09533;0.009413;0.096695
0.35518;0.086387;0.009233;0.096081
0.34909;0.093992;0.010503;0.096322
0.335906;0.08482;0.009513;0.096265
0.355459;0.09266;0.009687;0.096558
0.3531;0.091193;0.009498;0.096117
0.354004;0.090532;0.009406;0.096994
0.367903;0.089299;0.01136;0.096749
0.331653;0.081981;0.009439;0.096598
0.350617;0.09517;0.009305;0.095935
0.34428;0.086428;0.009698;0.096882
0.347422;0.095651;0.009326;0.096455
0.350035;0.092363;0.009509;0.096434
0.369114;0.099408;0.009352;0.096415
0.350123;0.0962;0.009638;0.096375
0.343824;0.087773;0.009413;0.096377
0.345139;0.08621;0.009509;0.096521
0.344207;0.087733;0.009243;0.095588
0.348199;0.091782;0.009329;0.097089
0.335965;0.089243;0.010815;0.096946
0.335381;0.093953;0.009695;0.096927
0.386346;0.102647;0.010343;0.096755
0.35981;0.098189;0.01066;0.095951
0.364497;0.088263;0.009726;0.096076
0.349953;0.092791;0.009605;0.096957
