Dijkstra;Ford-Bellman;Prim;Kruskal
0.378438;0.127836;0.011686;0.200824
0.360326;0.129041;0.011785;0.200935
0.364665;0.132965;0.014688;0.202259
0.347078;0.129213;0.011986;0.201004
0.36376;0.131792;0.013819;0.201381
0.339089;0.127595;0.01486;0.201926
0.362523;0.141414;0.011856;0.202246
0.345533;0.137394;0.013771;0.201462
0.358239;0.131285;0.011711;0.202402
0.351136;0.132183;0.01265;0.202577
0.357895;0.136256;0.011982;0.202562
0.372179;0.132442;0.011729;0.201378
0.357599;0.12608;0.011821;0.201863
0.361399;0.135933;0.011953;0.20209
0.349878;0.124652;0.01172;0.201723
0.360472;0.127449;0.014941;0.201498
0.355191;0.123903;0.011756;0.201643
0.343483;0.137594;0.013544;0.202116
0.360681;0.128593;0.011602;0.201386
0.360301;0.134603;0.011582;0.201536
0.342783;0.126868;0.011816;0.200939
0.344489;0.129763;0.011591;0.202235
0.357577;0.134398;0.011714;0.201479
0.362017;0.139555;0.013853;0.201256
0.361559;0.133572;0.0139;0.201572
0.34209;0.126526;0.013672;0.201198
0.406183;0.143485;0.011966;0.200569
0.362769;0.130681;0.011845;0.201962
0.385102;0.141553;0.011733;0.201409
0.343433;0.127758;0.015178;0.201359
0.352796;0.133907;0.011692;0.201389
0.388096;0.139682;0.011612;0.201374
0.362107;0.133599;0.012675;0.202412
0.355206;0.125677;0.01185;0.201667
0.351439;0.126103;0.011779;0.202391
0.353475;0.134592;0.015262;0.201646
0.342979;0.130784;0.011779;0.201633
0.349819;0.12453;0.011907;0.201627
0.350123;0.133068;0.014064;0.200666
0.348654;0.125988;0.011547;0.201092
0.367801;0.130268;0.011916;0.202242
0.355757;0.125796;0.011748;0.20138
0.353257;0.130389;0.011743;0.201981
0.357297;0.132421;0.012045;0.201938
0.358836;0.133088;0.014591;0.202705
0.363293;0.129534;0.011743;0.200995
0.359454;0.143442;0.014771;0.202135
0.373784;0.12826;0.01166;0.200661
0.361094;0.130369;0.012236;0.201253
0.342124;0.124152;0.012586;0.201579
0.339196;0.133559;0.011884;0.201239
0.351413;0.128826;0.01187;0.20187
0.378327;0.125885;0.014027;0.201978
0.356075;0.127391;0.011523;0.201574
0.377443;0.135077;0.011651;0.201918
0.336715;0.124595;0.01181;0.20194
0.353838;0.132423;0.011455;0.201457
0.351151;0.132329;0.012404;0.203201
0.338803;0.125741;0.014387;0.201801
0.366345;0.135997;0.011584;0.201056
0.355348;0.134065;0.011532;0.201369
0.362166;0.134466;0.011625;0.201162
0.366832;0.137287;0.011753;0.202126
0.342653;0.127617;0.013939;0.202098
0.359299;0.14069;0.011532;0.201552
0.352286;0.131296;0.012246;0.203172
0.371926;0.131548;0.011569;0.201932
0.343058;0.122392;0.011706;0.200851
0.348362;0.128173;0.012102;0.201041
0.362759;0.137242;0.011729;0.201334
0.348865;0.130705;0.011329;0.202319
0.37358;0.135361;0.011808;0.20141
0.364284;0.124524;0.013871;0.20144
0.364641;0.139694;0.011728;0.202044
0.352634;0.122086;0.011856;0.201801
0.375789;0.130713;0.012153;0.202097
0.347146;0.130943;0.011583;0.201307
0.364264;0.132;0.011834;0.201629
0.340186;0.128542;0.014279;0.201809
0.353869;0.126144;0.011702;0.200833
0.347993;0.128461;0.011427;0.201539
0.375016;0.13434;0.014702;0.202046
0.33924;0.127927;0.012575;0.201134
0.36777;0.139099;0.01149;0.201154
0.374132;0.14304;0.011553;0.201887
0.339955;0.129983;0.011766;0.201842
0.364264;0.134981;0.014495;0.202188
0.34642;0.127773;0.012157;0.201335
0.347295;0.13207;0.011827;0.20234
0.374802;0.135951;0.014334;0.201979
0.369383;0.139094;0.011677;0.201963
0.375648;0.129586;0.013186;0.201409
0.3489;0.136799;0.014368;0.202386
0.379852;0.126745;0.011847;0.201829
0.358823;0.13425;0.0118;0.202253
0.393074;0.145521;0.011973;0.20202
0.34836;0.139759;0.011647;0.201669
0.362157;0.140238;0.011446;0.200921
0.358625;0.130448;0.011594;0.201282
0.337817;0.132389;0.011716;0.201676
