Dijkstra;Ford-Bellman;Prim;Kruskal
0.352512;0.080651;0.012463;0.201251
0.355042;0.087405;0.012176;0.200993
0.377862;0.083378;0.012324;0.200149
0.379045;0.085027;0.012252;0.20043
0.387654;0.083616;0.012651;0.200425
0.393124;0.08434;0.012287;0.200965
0.350473;0.081297;0.012268;0.200548
0.3448;0.08135;0.012191;0.200901
0.358309;0.088334;0.012249;0.200303
0.359761;0.084277;0.012288;0.201366
0.362084;0.087773;0.012111;0.200193
0.354059;0.088919;0.012269;0.200721
0.346391;0.084843;0.012261;0.200856
0.348818;0.08422;0.012092;0.200097
0.385064;0.091184;0.01219;0.201268
0.35477;0.083726;0.012275;0.200809
0.34021;0.085406;0.012184;0.201414
0.34797;0.085915;0.012156;0.200411
0.397089;0.086148;0.012141;0.200157
0.374232;0.083026;0.012092;0.200257
0.369017;0.087812;0.012156;0.201361
0.363099;0.080412;0.012128;0.200748
0.364642;0.085857;0.01242;0.200941
0.345906;0.085697;0.012396;0.201383
0.340685;0.086217;0.012519;0.201245
0.368284;0.085312;0.01241;0.201154
0.358928;0.083703;0.012276;0.20081
0.353076;0.082476;0.012299;0.200347
0.353323;0.084174;0.012116;0.200595
0.350252;0.086899;0.012447;0.201644
0.357088;0.087369;0.012306;0.200677
0.357847;0.088084;0.01219;0.201219
0.363725;0.089828;0.012185;0.199563
0.383295;0.089662;0.012273;0.19946
0.383276;0.08531;0.012297;0.200026
0.352139;0.084021;0.012575;0.202532
0.34393;0.084685;0.01214;0.200037
0.359728;0.086505;0.012216;0.19899
0.337805;0.088492;0.012369;0.200475
0.345157;0.084678;0.012015;0.200394
0.35108;0.086269;0.012207;0.200753
0.339877;0.089064;0.01222;0.20061
0.363864;0.084952;0.012259;0.201846
0.343988;0.086134;0.012305;0.200839
0.345214;0.086086;0.01221;0.201953
0.400682;0.083768;0.012196;0.201227
0.369287;0.088835;0.012518;0.201306
0.362327;0.084832;0.012144;0.200276
0.356944;0.088509;0.012016;0.200402
0.34414;0.084201;0.012276;0.201097
0.363265;0.082919;0.012341;0.201123
0.374911;0.087028;0.012134;0.200914
0.339536;0.081789;0.012292;0.20151
0.36997;0.083732;0.012291;0.200949
0.358646;0.087741;0.012286;0.200125
0.368571;0.083555;0.012133;0.20062
0.3498;0.087585;0.012109;0.200597
0.350048;0.087211;0.012283;0.201717
0.368528;0.084397;0.012235;0.200709
0.341588;0.083787;0.012147;0.199979
0.371091;0.085055;0.012321;0.200162
0.345167;0.082714;0.01217;0.20069
0.352877;0.08705;0.01228;0.200822
0.352324;0.082641;0.012803;0.200739
0.357567;0.083115;0.012088;0.200436
0.359649;0.085949;0.012184;0.201712
0.343647;0.086251;0.012115;0.200773
0.373795;0.087899;0.012165;0.200808
0.354708;0.082301;0.012237;0.199977
0.346207;0.08181;0.012155;0.201504
0.357297;0.087862;0.012208;0.199679
0.345142;0.084301;0.012139;0.200562
0.353062;0.084859;0.012424;0.201529
0.341248;0.08176;0.012249;0.200881
0.35884;0.084945;0.012029;0.202189
0.351702;0.085454;0.012204;0.201352
0.351649;0.083986;0.012311;0.201282
0.348151;0.081489;0.012233;0.200447
0.358343;0.080772;0.012221;0.200948
0.351385;0.083308;0.012204;0.200498
0.352639;0.082933;0.012083;0.201619
0.350446;0.081167;0.012207;0.200616
0.375153;0.086929;0.012406;0.200871
0.344063;0.089184;0.012161;0.200838
0.345635;0.089486;0.012182;0.201225
0.343404;0.086276;0.011977;0.20045
0.34594;0.085567;0.012229;0.20024
0.354103;0.082073;0.012092;0.200785
0.357023;0.083735;0.01211;0.201063
0.352671;0.086194;0.012476;0.200681
0.362782;0.089224;0.012303;0.201056
0.34878;0.086915;0.012216;0.201187
0.345334;0.084676;0.012304;0.200169
0.342837;0.086103;0.012182;0.2001
0.36899;0.083717;0.012178;0.200498
0.362832;0.086003;0.012314;0.200827
0.383013;0.088746;0.012036;0.200061
0.411513;0.087336;0.012187;0.19949
0.365406;0.083046;0.011975;0.200887
0.344897;0.082465;0.012197;0.201374
