Dijkstra;Ford-Bellman;Prim;Kruskal
3.48338;5.03638;0.256112;14.6508
3.35052;4.93096;0.26427;14.6651
3.27781;5.00065;0.263463;14.6642
3.37225;4.94272;0.256791;14.6579
3.61156;5.34641;0.26026;14.6622
3.58174;4.92391;0.258456;14.6633
3.51731;5.32749;0.256235;14.6569
3.27655;4.80635;0.265993;14.6633
3.31762;4.8419;0.257227;14.6728
3.29116;5.04539;0.257434;14.6841
3.35976;4.89877;0.259048;14.7548
3.32301;4.80376;0.265116;14.657
3.49713;4.98972;0.25816;14.6632
3.46344;4.75685;0.25619;14.6583
3.27482;4.9401;0.258519;14.7733
3.34539;4.86501;0.258795;14.6776
3.4836;4.64696;0.26947;14.7004
3.26696;5.75542;0.256768;14.6568
3.49048;5.30051;0.260181;14.6546
3.4277;4.92194;0.269555;14.7169
3.68511;5.12329;0.262811;14.6658
3.38604;4.97712;0.260561;14.6622
3.34244;5.03889;0.263777;14.6864
3.45965;4.95012;0.270147;14.6681
3.47551;4.90262;0.26182;14.6552
3.3978;7.26542;0.261477;14.7262
3.3511;4.89834;0.261764;14.6608
3.57035;4.81941;0.259956;14.6707
3.35545;4.97644;0.256145;14.654
3.65362;4.84083;0.257393;14.6688
3.52634;4.88484;0.25712;14.6543
3.28937;5.00438;0.261377;14.6717
3.44886;5.09234;0.266663;14.6618
3.44887;4.87794;0.260501;14.6582
3.33931;4.99153;0.257237;14.6709
3.37972;5.21098;0.258965;14.6619
3.34875;4.91924;0.266282;14.6782
3.54247;7.13073;0.266122;14.6796
3.35931;4.88293;0.259674;14.6232
3.4425;4.90078;0.259353;14.6556
3.41808;5.01768;0.261067;14.6603
3.35393;4.8481;0.258629;14.6223
3.43907;4.9719;0.274761;14.6935
3.55503;4.71315;0.257874;14.6506
3.42397;4.97298;0.258454;14.6842
3.52715;4.96207;0.261607;14.663
3.69787;4.97353;0.263581;14.679
3.39191;5.15962;0.267101;14.6708
3.41108;5.12242;0.262233;14.6521
3.51114;5.04818;0.2701;14.6683
3.42954;4.91324;0.260002;14.6605
3.4102;5.22048;0.258223;14.6559
3.256;5.02761;0.260228;14.6594
3.39309;5.50138;0.263213;14.7538
3.60736;4.82776;0.260508;14.6786
3.54274;4.89167;0.25746;14.6668
3.40845;5.01138;0.257409;14.6566
3.51258;5.43966;0.260749;14.7556
3.34936;5.1055;0.265968;14.7744
3.45943;4.81785;0.258889;14.6615
3.51664;5.0367;0.26314;14.7242
3.50843;5.39174;0.258261;14.66
3.40351;9.06184;0.268169;14.8016
3.25181;5.00004;0.25324;14.6588
3.41118;4.84206;0.256789;14.6706
3.39383;5.23595;0.259078;14.6593
3.76477;4.96239;0.258063;14.6779
3.31378;4.91838;0.2668;14.6665
3.45983;4.86207;0.261119;14.7234
3.32025;4.90259;0.264238;14.6713
3.49887;4.89932;0.257961;14.6637
3.42658;5.005;0.255551;14.6599
3.55;4.80501;0.25953;14.6561
3.18206;4.97639;0.261566;14.7626
3.53961;4.82675;0.258061;14.6603
3.66003;5.12775;0.272174;14.8141
3.43032;4.90035;0.264255;14.663
3.43628;4.86829;0.262867;14.6645
3.46613;5.32383;0.263618;14.7449
3.52658;5.18034;0.258153;14.7306
3.34959;4.91009;0.262961;14.6972
3.61327;4.94939;0.259921;14.6611
3.46794;4.93952;0.261185;14.6696
3.66962;4.85091;0.266592;14.6702
3.3801;5.13779;0.263602;14.7564
3.45288;4.68155;0.2634;14.6712
3.4531;4.71745;0.264964;14.6747
3.37486;5.11097;0.258677;14.6769
3.53351;4.72124;0.260119;14.6588
3.46941;4.66109;0.257301;14.6587
3.5028;4.84779;0.26436;14.6714
3.4186;4.69151;0.257379;14.6619
3.38289;5.04318;0.263703;14.7587
3.65159;4.88766;0.262179;14.7531
3.54861;4.86456;0.259812;14.6663
3.48397;4.82986;0.263255;14.6602
3.69661;4.8355;0.257044;14.6556
3.31898;4.89976;0.269605;14.6859
3.63403;4.94645;0.261436;14.6591
3.6681;4.96362;0.261575;14.6645
