Dijkstra;Ford-Bellman;Prim;Kruskal
3.33214;1.09085;0.177324;6.57683
3.37261;1.08649;0.175214;6.5697
3.55205;1.09324;0.174998;6.56056
3.43994;1.08465;0.176594;6.56327
3.35022;1.08691;0.175055;6.56622
3.37586;1.08549;0.175107;6.57252
3.42915;1.0904;0.175385;6.58984
3.40341;1.08477;0.17613;6.57807
3.4513;1.0891;0.177033;6.57141
3.44757;1.08459;0.175866;6.56944
3.32821;1.08461;0.176418;6.56996
3.42186;1.08764;0.17478;6.57269
3.26063;1.08575;0.178358;6.57157
3.45171;1.08322;0.175557;6.57753
3.61973;1.0986;0.177357;6.59293
3.30406;1.08569;0.176855;6.56565
3.22325;1.09;0.17779;6.59245
3.26552;1.08711;0.175507;6.57172
3.41002;1.09118;0.176787;6.57401
3.49505;1.09101;0.179952;6.56955
3.42005;1.08898;0.179154;6.55901
3.36134;1.08393;0.175719;6.57402
3.35975;1.08583;0.175722;6.58121
3.42133;1.08711;0.176407;6.57031
3.37093;1.08713;0.177213;6.56737
3.61455;1.08984;0.176491;6.57083
3.22713;1.08317;0.174002;6.57256
3.41017;1.08801;0.175673;6.57567
3.44025;1.08984;0.176192;6.59
3.45833;1.09191;0.175358;6.57287
3.28203;1.08601;0.176168;6.57147
3.44515;1.08187;0.17739;6.5704
3.32475;1.09222;0.176021;6.56993
3.27539;1.08511;0.175091;6.58608
3.33587;1.09019;0.176154;6.57939
3.20876;1.0864;0.177506;6.57162
3.31952;1.09055;0.17703;6.569
3.3636;1.08395;0.176853;6.56998
3.39907;1.08701;0.174411;6.57096
3.5944;1.09017;0.17677;6.57665
3.33413;1.08794;0.178044;6.56791
3.39665;1.08742;0.176077;6.57973
3.50015;1.09043;0.177771;6.56869
3.45596;1.08576;0.175492;6.57994
3.41235;1.08723;0.17656;6.56634
3.41666;1.08281;0.176514;6.57907
3.43036;1.08799;0.177285;6.57053
3.33337;1.09045;0.1763;6.5702
3.46455;1.08933;0.176711;6.59351
3.35689;1.08455;0.17721;6.57025
3.42785;1.09017;0.176357;6.60858
3.55071;1.08867;0.177594;6.56937
3.49681;1.09093;0.18025;6.61068
3.45615;1.08939;0.177284;6.57311
3.32708;1.08831;0.177157;6.572
3.44691;1.09719;0.179803;6.59276
3.42415;1.09184;0.176292;6.56603
3.40107;1.08704;0.17833;6.59718
3.58434;1.101;0.178819;6.62186
3.4838;1.08541;0.177073;6.57565
3.42852;1.09017;0.176878;6.58046
3.47459;1.08838;0.178107;6.58472
3.39357;1.08956;0.176832;6.60926
3.37622;1.09823;0.177008;6.56789
3.63;1.08843;0.177946;6.56517
3.46588;1.09052;0.178666;6.56552
3.40815;1.08611;0.175185;6.56527
3.29015;1.09604;0.178367;6.5793
3.4348;1.08477;0.176548;6.56843
3.39897;1.09236;0.193794;6.58703
3.51837;1.08861;0.177547;6.5736
3.37552;1.08294;0.17645;6.56714
3.42287;1.09204;0.176934;6.58067
3.58046;1.10464;0.17318;6.56975
3.37754;1.08369;0.176895;6.57199
3.40284;1.0884;0.177426;6.5641
3.45708;1.09523;0.178702;6.59343
3.45604;1.08712;0.176053;6.57861
3.43239;1.08555;0.178047;6.56503
3.36467;1.08757;0.177502;6.56828
3.41606;1.08924;0.176699;6.58549
3.41688;1.08967;0.178538;6.57234
3.31324;1.09223;0.177285;6.57877
3.43651;1.087;0.177341;6.57662
3.43695;1.09653;0.178702;6.60489
3.35602;1.08684;0.177447;6.57198
3.42647;1.09028;0.177697;6.57079
3.37456;1.08801;0.176031;6.57808
3.38914;1.09242;0.17699;6.56755
3.39037;1.09343;0.177882;6.56971
3.36516;1.08732;0.176799;6.56834
3.39929;1.08918;0.178344;6.57374
3.53392;1.10047;0.177838;6.61369
3.41305;1.08782;0.176648;6.5793
3.33345;1.08882;0.177236;6.57375
3.36942;1.08875;0.177893;6.57464
3.49496;1.08608;0.175022;6.56941
3.4739;1.08937;0.177045;6.5655
3.39143;1.08653;0.178514;6.56627
3.34375;1.08354;0.175931;6.59149
