Wczytywanie;Zapisywanie;Usuwanie;Usuwanie ostatniego;Usuwanie pierwszego;Usuwanie wszystkiego;Dodawanie;Dodawaniena pierwszego;Dodawanie ostatniego;Wyszukiwanie
0.39975;1.04039;4;4;4.5;0.5;4;4;4.1;1.6
0.39568;1.03445;3.8;3.9;4.5;0.6;4;4.1;4.2;0.9
0.42309;1.04018;4.1;4.1;4.7;0.7;4.1;4.1;4.1;1.8
0.39903;1.03275;4;4.1;4.6;0.5;4;4.1;4.2;0.5
0.4017;1.03823;4.1;4;5;0.8;3.9;4.1;4.1;2.4
0.40288;1.03599;4;4;4.5;0.5;3.9;4.1;4.1;2
0.39944;1.05305;4;4;4.5;0.7;3.9;4.1;4.1;1.9
0.39826;1.03924;4;4;4.5;0.6;4.1;4.1;4.1;0.2
0.39625;1.03841;4;3.9;4.6;0.6;4.1;4.1;4.1;0.4
0.39846;1.03915;4.1;4.1;4.5;0.6;4.1;4.1;4.1;1.1
0.39974;1.02797;4.1;4.1;4.5;0.6;4;4.1;4.1;2.4
0.40167;1.03263;4.1;4;4.5;0.5;4;4;4.1;0.7
0.39621;1.0307;4;4.1;4.5;0.6;4.1;4;4.1;0.7
0.41032;1.02868;3.9;4;4.5;0.6;4.1;4.1;4.1;0.8
0.40564;1.03343;4;4;4.6;0.6;4;4.1;4.1;1.9
0.4022;1.03166;4;4;4.5;0.5;4;4.1;4.1;1.5
0.40645;1.04057;3.9;4;4.5;0.6;3.8;4;4.1;1.5
0.40802;1.03524;4.1;4;4.5;0.5;4.1;4.1;4.1;0.1
