Wczytywanie;Zapisywanie;Usuwanie;Usuwanie ostatniego;Usuwanie pierwszego;Usuwanie wszystkiego;Dodawanie;Dodawaniena pierwszego;Dodawanie ostatniego;Wyszukiwanie
0.01151;0.05689;0.3;0.5;0.2;3.2;0.4;0.4;0.4;0
0.01101;0.05186;0.4;0.5;0.2;3.2;0.3;0.4;0.4;0.1
0.01087;0.0502;0.3;0.4;0.3;3.2;0.3;0.4;0.4;0.1
0.01106;0.0499;0.4;0.5;0.2;2.9;0.4;0.2;0.4;0.2
0.01078;0.05083;0.4;0.5;0.3;3.2;0.3;0.5;0.4;0.1
0.01121;0.05013;0.4;0.5;0.3;3;0.3;0.4;0.4;0.1
0.01091;0.05039;0.3;0.5;0.2;3.4;0.4;0.2;0.4;0.2
0.01095;0.04949;0.4;0.5;0.2;2.9;0.3;0.4;0.4;0.2
0.01181;0.04933;0.4;0.5;0.3;4.1;0.4;0.4;0.4;0.1
0.02405;0.05054;0.4;0.5;0.2;3.3;0.3;0.5;0.4;0.1
0.01156;0.05003;0.4;0.5;0.3;8;0.4;0.4;0.4;0.1
0.01102;0.05815;0.4;0.5;0.2;2.9;0.4;0.4;0.4;0.2
0.01103;0.04969;0.4;0.5;0.3;3.3;0.4;0.4;0.4;0.2
0.01165;0.04931;0.4;0.5;0.2;3.1;0.4;1.1;0.4;0.1
0.01513;0.06992;0.4;0.5;0.3;3.1;0.4;0.2;0.4;0.1
0.01188;0.04923;0.4;0.5;0.3;2.9;0.4;0.5;0.4;0.1
0.01594;0.05078;0.4;0.5;0.2;3.1;0.3;0.2;0.4;0.1
0.01087;0.05333;0.3;0.5;0.3;2.9;0.3;0.4;0.4;0.1
0.01123;0.05097;0.3;0.5;0.3;3.3;0.3;0.4;0.4;0.2
0.01112;0.05217;0.4;0.6;0.2;3;0.3;0.4;0.4;0.2
0.01102;0.051;0.3;0.5;0.2;3.3;0;0.4;0.4;0.1
0.01103;0.04982;0.4;0.5;0.3;2.9;0;0.4;0.4;0.1
0.01079;0.05062;0.4;0.5;0.3;9.6;0;0.5;0.4;0.2
0.01123;0.04917;0;0.5;0.3;3;0;0.4;0.4;0.1
0.01147;0.06768;0;0.5;0.3;7.8;0;0.4;0.5;0.1
0.01134;0.06053;0;0.5;0.3;6.9;0;0.4;0.5;0.1
