Wczytywanie;Zapisywanie;Usuwanie;Usuwanie ostatniego;Usuwanie pierwszego;Usuwanie wszystkiego;Dodawanie;Dodawaniena pierwszego;Dodawanie ostatniego;Wyszukiwanie;Równowa¿enie drzewa
0.46458;1.03721;29.6;0;0;172.1;0.9;0;0;16.3;23.4
0.46332;1.04061;30.9;0;0;195.3;0.8;0;0;18.2;31
0.46611;1.05945;30.9;0;0;169.4;1;0;0;25.1;23.9
0.4704;1.0463;30.3;0;0;159.1;1.3;0;0;38.4;30.4
0.46659;1.04519;31.2;0;0;175.8;1;0;0;8;23.4
0.47211;1.06014;31.4;0;0;159.3;1.2;0;0;16.8;30.8
0.46698;1.03754;30.6;0;0;177.1;1;0;0;36.7;23.6
0.46806;1.03754;32.6;0;0;163;0.6;0;0;2.8;31
0.46504;1.0348;30.8;0;0;159.7;1;0;0;4.2;24.3
0.45739;1.02978;31.5;0;0;159;1.2;0;0;32.3;29.6
0.47257;1.0354;30.2;0;0;158;1.2;0;0;33.5;25.8
0.47632;1.03661;29.4;0;0;159.2;1.2;0;0;28.2;29.2
0.46721;1.03678;31;0;0;158;0.9;0;0;27.8;24.1
0.46689;1.03641;31.4;0;0;163.5;1.2;0;0;9.8;30.7
0.46684;1.03387;31.2;0;0;170.3;0.9;0;0;2;23.9
0.45993;1.05089;31.1;0;0;159.4;1.3;0;0;6.2;30.7
0.46323;1.03317;29.4;0;0;158.8;0.8;0;0;24.4;23.9
